 Save ,حفظ
...Adding Article to Topics,...جاري إضافة المقال للوحدات
...Adding Course to Programs,...جاري إضافة الدورة للبرامج
...Adding Quiz to Topics,...جاري إضافة الاختبار للوحدات
...Adding Topic to Courses,...جاري إضافة الوحدة للدورات
{0} - {1} is inactive student,{0} - {1} طالب غير نشط
{0} - {1} is not enrolled in the Batch {2},{0} - {1} غير مسجّل في الدفعة {2}
{0} - {1} is not enrolled in the Course {2},{0} - {1} غير مسجّل في الدورة {2}
{0} {1} has been added to all the selected topics successfully.,تمت إضافة {0} {1} لجميع الوحدات المحددة.
{0} is mandatory,{0} إلزامي
{0} or {1} is mandatory,{0} أو {1} إلزامي
{0} Student Groups created.,تم إنشاء {0} مجموعة تعليمية.
{0} Students have been enrolled,تم تسجيل {0} طالب
A question must have more than one options,يجب أن يحتوي السؤال على أكثر من خيار
A qustion must have at least one correct options,يجب أن يحتوي السؤال على خيار صحيح واحد على الأقل
A-,A-
A+,A+
AB-,AB-
AB+,AB+
Absent,غائب
Absent Student Report,تقرير غياب الطلاب
Academic,أكاديمي
Academic Term,الفصل الدراسي
Academic Term {0} does not belong to Academic Year {1},الفصل الدراسي {0} لا ينتمي للعام الدراسي {1}
Academic Year,العام الدراسي
Academic Year Name,اسم العام الدراسي
Academics,الشؤون الأكاديمية
Account,الحساب
Accounting,المحاسبة
Accounting Defaults,الإعدادات المحاسبية الافتراضية
Accounting Defaults are not set in row {0} for component {1} ,الإعدادات المحاسبية غير محددة في الصف {0} للمكوّن {1}
Accounting Dimensions,أبعاد المحاسبة
Accounting Ledger,دفتر الأستاذ
Accounts,الحسابات
Achievement,إنجاز
Action,إجراء
Actions,الإجراءات
Active,نشط
Activity,النشاط
Activity Date,تاريخ النشاط
Add,إضافة
Add Article to Topics,إضافة المقال إلى الوحدات
Add Course to Programs,إضافة الدورة إلى البرامج
Add Guardians to Email Group,إضافة أولياء الأمور لمجموعة البريد
Add letterhead,إضافة ترويسة
Add Quiz to Topics,إضافة الاختبار إلى الوحدات
Add to Courses,إضافة إلى الدورات
Add to Programs,إضافة إلى البرامج
Add to Topics,إضافة إلى الوحدات
Add Topic to Courses,إضافة الوحدة إلى الدورات
Address,العنوان
Address Line 1,العنوان - السطر الأول
Address Line 2,العنوان - السطر الثاني
Admission End Date,تاريخ انتهاء القبول
Admission End Date should be greater than Admission Start Date.,يجب أن يكون تاريخ انتهاء القبول بعد تاريخ البدء.
Admission Start Date,تاريخ بدء القبول
Admissions,القبول والتسجيل
Admissions for {0},القبول لعام {0}
Admitted,مقبول للتسجيل
Against Invoice,مقابل الفاتورة
All Student Admissions,جميع طلبات القبول
Alternate Number,رقم بديل
amber,كهرماني
Amended From,معدّل من
Amount,المبلغ
Application Date,تاريخ التقديم
Application Fee,رسوم التقديم
Application Status,حالة التقديم
Applied,مقدّم
Approve,قبول
Approved,مقبول
Article,المقال
As Examiner,كمُمتحن
As Supervisor,كمشرف
Assessment,التقييم
Assessment Criteria,معايير التقييم
Assessment Criteria Group,مجموعة معايير التقييم
Assessment Group,مجموعة التقييم
Assessment Group Name,اسم مجموعة التقييم
Assessment Name,اسم التقييم
Assessment Plan,خطة التقييم
Assessment Plan Criteria,معايير خطة التقييم
Assessment Plan Name,اسم خطة التقييم
Assessment Plan Status,حالة خطة التقييم
Assessment Reports,تقارير التقييم
Assessment Result,نتيجة التقييم
Assessment Result Detail,تفاصيل نتيجة التقييم
Assessment Result record {0} already exists.,سجل نتيجة التقييم {0} موجود مسبقاً.
Assessment Result Tool,أداة نتائج التقييم
Assessment Terms,شروط التقييم
Attendance,الحضور
Attendance Based On,تسجيل الحضور بناءً على
Attendance Based on Course Schedule,تسجيل الحضور حسب جدول الدورة
Attendance cannot be marked for {0} as it is a holiday.,لا يمكن تسجيل الحضور لـ {0} لأنه يوم عطلة.
Attendance cannot be marked for future dates.,لا يمكن تسجيل الحضور لتواريخ مستقبلية.
Attendance cannot be marked outside of Academic Year {0},لا يمكن تسجيل الحضور خارج العام الدراسي {0}
Attendance Freeze Date,تاريخ تجميد الحضور
Attendance has been marked successfully.,تم تسجيل الحضور بنجاح.
Attendance Reports,تقارير الحضور
Author,المؤلف
B-,B-
B+,B+
Based On,بناءً على
Batch,الدفعة
Batch is mandatory in row {0},الدفعة إلزامية في الصف {0}
Batch Name,اسم الدفعة
Blood Group,فصيلة الدم
blue,أزرق
Boarding Student,طالب داخلي
By default, a new User is created for every new Student. If enabled, no new User will be created when a new Student is created.,افتراضياً، يُنشأ مستخدم جديد لكل طالب. عند التفعيل، لن يُنشأ مستخدم للطالب الجديد.
